Reg,REGTYPENAME,CLASSPROFILENAME,EONAME,EOTYPENAME,UKRTEST,UKRBALL100,HISTTEST,HISTLANG,HISTTESTSTATUS,HISTBALL100,MATHTEST,MATHLANG,MATHTESTSTATUS,MATHBALL100,PHYSTEST,PHYSLANG,PHYSTESTSTATUS,PHYSBALL100,CHEMTEST,CHEMLANG,CHEMTESTSTATUS,CHEMBALL100,BIOTEST,BIOLANG,BIOTESTSTATUS,BIOBALL100,GEOTEST,GEOLANG,GEOTESTSTATUS,GEOBALL100,ENGTEST,ENGTESTSTATUS,ENGBALL100,FRATEST,FRATESTSTATUS,FRABALL100,DEUTEST,DEUTESTSTATUS,DEUBALL100
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Універсальний,Середня загальноосвітня школа №96 МЖК-1,середня загальноосвітня школа,Українська мова і література,100,,,,,Математика,українська,Зараховано,119,,,,,,,,,,,,,,,,,Англійська мова,Не подолав поріг,0,,,,,,
Шевченківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Львівська спеціалізована середня загальноосвітня школа І-ІІІ ступенів №81 ім. Петра Сагайдачного з поглибленим вивченням англійської мови,середня загальноосвітня школа,Українська мова і література,172,,,,,Математика,українська,Зараховано,170,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,151,,,,,,
смт Рудне,Випускник загальноосвітнього навчального закладу 2017 року,Української філології,Львівська загальноосвітня школа І-ІІІ ступенів №74 Львівської міської ради Львівської області,середня загальноосвітня школа,Українська мова і література,179,,,,,Математика,українська,Зараховано,155,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,151,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"Навчально-виховний комплекс ""Школа-ліцей ""Оріяна"" м. Львова",середня загальноосвітня школа,Українська мова і література,189,Історія України,українська,Зараховано,125,Математика,українська,Зараховано,186,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,167,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Інший,"Навчально-виховний комплекс ""Школа-ліцей ""Оріяна"" м. Львова",середня загальноосвітня школа,Українська мова і література,199,Історія України,українська,Зараховано,185,Математика,українська,Зараховано,185,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,190,,,,,,
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Навчально-виховний комплекс ""Школа-гімназія ""Сихівська""",навчально-виховний комплекс,Українська мова і література,192,Історія України,українська,Зараховано,195,,,,,,,,,Хімія,українська,Зараховано,196,Біологія,українська,Зараховано,198,,,,,,,,,,,,,
Личаківський район міста,Випускник минулих років,,,,Українська мова і література,182,Історія України,українська,Зараховано,158,,,,,,,,,,,,,,,,,,,,,,,,Французька мова,Зараховано,182,,,
Сихівський район міста,Випускник минулих років,,,,Українська мова і література,145,,,,,,,,,Фізика,українська,Не подолав поріг,0,Хімія,українська,Зараховано,146,Біологія,українська,Зараховано,171,,,,,,,,,,,,,
Франківський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,"Львівський навчально-виховний комплекс ім. В. Симоненка з поглибленим вивченням німецької мови ""Спеціалізована школа І ступеня-гімназія""",навчально-виховний комплекс,Українська мова і література,188,Історія України,українська,Зараховано,175,,,,,,,,,,,,,,,,,,,,,,,,,,,Німецька мова,Зараховано,192
Сихівський район міста,Випускник загальноосвітнього навчального закладу 2017 року,Іноземної філології,Середня спеціалізована загальноосвітня школа №93 з поглибленим вивченням англійської мови,спеціалізована школа,Українська мова і література,161,Історія України,українська,Зараховано,146,Математика,українська,Зараховано,138,,,,,,,,,,,,,,,,,Англійська мова,Зараховано,154,,,,,,
